# -----------------------------------------------------
# Last Update: modified by Valminder Feb 28, 2006.
# -----------------------------------------------------
#
# Calendar of Mystara and the Known World
#
# Made by Valminder, March 2002
#
#
# ***************************************************************************
#
# Modify this table to permanently set the parameter value to use the
# calendar of your choice.
#
#     1= Forgotten Realms
#     2= Greyhawk
#     3= Mystara
#     4= Mythosan
#     5= Real World Calendar
#
# ***************************************************************************
#
#
# For your own game, create a calendar and name it "Calendar.tab"
# Change the entries for the subtables below, but do not rename the
# subtables since thay are called from other tables.
# You'll then be able to dispose of this one or rename it
# "Calendar MYSTARA" for later use.
#
# The start line is only a test, since the weekdays of the calendar
# are stable year after year. For example, the 1st of every month is
# always Lunadain.
#
# Mythosan Calendar: based off of the Mythosan calendar, found at
#    http://www.mythosa.net (Copyright 2000 by Bruce A. Gulke)
#
# Seasons: By Dawn M. Burge (2004)
#
# Modified by Valminder, Feb 2006.
#    I added Parameters. You only have to permanently change the
#       parameter value to choose which calendar to use.
#    Added seasons.
# 

%Var%,0
%World%,3

@World,3,Choose the Calendar to use,Forgotten Realms (Nothing Yet),Greyhawk,Mystara,Mythosan,Real World Calendar

:Start
1,<b><u>Calendar.tab</b></u><br><br>
_Modify this table to permanently set the parameter value to use the calendar of your choice.<br><br>
_1= Forgotten Realms<br>
_2= Greyhawk<br>
_3= Mystara<br>
_4= Mythosan<br>
_5= Real World Calendar<br>
_<br><br>
_[~Test]

:Test
1,<u>Months</u>: [Months]<br>
_<u>Months and Days</u>: [Months and Days]<br>
_<u>Weekdays</u>: [Weekdays]<br><br>
_<u>Seasons</u>: [Seasons]<br>

:SetVar
1,FR
2,GR
3,MY
4,MYTHO
5,RW

:Months
1,|Var=[SetVar=%World%]|[Months%Var%]

:Months and Days
1,|Var=[SetVar=%World%]|[Months and Days%Var%]

:Weekdays
1,|Var=[SetVar=%World%]|[Weekdays%Var%]

# ------------------------------------------------------------------------
# Seasons

:Seasons
1-9,[Prefix][Season]
10,[Season] [SpecialSeason]

:Prefix
1-2,the beginning of 
3-5,early 
6-9,
10-11,mid
12-15,
16-18,late 
19-20,the end of 

:Season
1,spring
2,summer
3,fall
4,winter

:SpecialSeason
1,equinox
2,solstice

# ------------------------------------------------------------------------
# ----------------------------- Calendars --------------------------------
# ------------------------------------------------------------------------
# Forgotten Realms

# Nothing Yet

# ------------------------------------------------------------------------
# Greyhawk

:MonthsGR
1,[Special1]
2,Readying
3,Coldeven
4,[Special2]
5,Flocktime
6,Wealsun
7,[Special3]
8,Goodmonth
9,Harvester
10,[Special4]
11,Ready'reat
12,Suns'ebb

:Months and DaysGR
1,[Special1b]
2,Readying {Ordinal~{Dice~1d28}}
3,Coldeven {Ordinal~{Dice~1d28}}
4,[Special2b]
5,Flocktime {Ordinal~{Dice~1d28}}
6,Wealsun {Ordinal~{Dice~1d28}}
7,[Special3b]
8,Goodmonth {Ordinal~{Dice~1d28}}
9,Harvester {Ordinal~{Dice~1d28}}
10,[Special4b]
11,Ready'reat {Ordinal~{Dice~1d28}}
12,Suns'ebb {Ordinal~{Dice~1d28}}

;Special1
7,Needfest
28,Fireseek

;Special1b
7,Needfest {Ordinal~{Dice~1d7}}
