# -----------------------------------------------------
# Last Update: modified by Valminder Feb 28, 2006.
# -----------------------------------------------------
#
# Lands of the Known World
#
# by Valminder March 2002 for Mystara
#   You can modify this table as you see fit for your world.
#   -In "Start" you put the complete name.
#   -In "Land" you put a contry's name that fits with "He comes from ..."
#   -In "World", put 2 "names" of your world (see the table for example).
#
# Modified by Valminder, Nov 2005.
#   -Added a lot of Mystaran informations.
#
#   At the bottom, you have "Greyhawk" tables (by Ed Hastings).
#      You can use "Countries.GenGreyhawk" to generate Greyhawk Regions.
#
#   CUSTOMIZING: World (enter the general name you give to your world,
#                       like Greyhawk, Faerun, etc). 
#                Generate subtable (at bottom in Greyhawk).
#                Peoples subtable (at bottom in Greyhawk).
#                Start / Land subtables.
#                Important NPCs (Heros and Villains)
#                Authors (popular authors of books from your world)
#                Historical (to add things from the history of your world)
#                Personage (for biographies)
#
#
# Countries.Start          ==> Complete name of the country.
# Countries.Land           ==> Name that fits with "He comes from ..."
# Countries.World          ==> All the names for the world.
# Countries.Regions        ==> Interesting regions of the world.
#
# Countries.Peoples        ==> Racial name of the populace, ex: Karameikans.
# Countries.Authors        ==> Known and more important authors of the world.
# Countries.Important NPCs ==> Heros, Villains, Personage, Authors
#    Countries.Heros       ==> Heroes of the world
#    Countries.Villains    ==> Villains of the world
#    Countries.Personage   ==> Important NPCs of the world.
#
# Countries.Historical     ==> Historical Book titles.
#
# Modified by Valminder, Feb 2006.
#    Added "Planes" subtable
#    Added "MercenaryGroup" and "MerchantGroup" subtables.
#      (Both from Michael Long's table "FR_misc_creatures.tab")
#

;Start
6,[Countries Common]
3,[Countries Uncommon]
1,[Countries Rare]

:Generate
1,[Land]

;Countries Common
1,Atruaghin Clans
2,Emirates of Ylaruam
5,Empire of Alphatia
5,Empire of Thyatis
2,Ethengar Khanates
2,Five Shires
3,Grand Duchy of Karameikos (AC1006 Kingdom)
1,Heldannic Territories
2,Kingdom of Alfheim (or Aengmor)
2,Kingdom of Ierendi
2,Kingdom of Rockhome
2,Kingdom of Sind
2,Kingdom of Wendar
2,Minrothad Guilds
2,Northern Reaches (Ostland)
2,Northern Reaches (Soderfjord)
2,Northern Reaches (Vestland)
1,Norwold
1,Pirate Isles
2,Principalities of Glantri
5,Republic of Darokin

;Countries Uncommon
2,Alatian Islands (SE of IOD)
1,Barony of Caerdwicca (IOD)
1,City-state of Ekto (IOD)
1,City-state of Trikelios (IOD)
2,Continent of Bellisaria
1,Continent of Skothar
1,Dragon Isles
1,Dragon Lands
1,Flying City of Serraine
1,Grand Duchy of Westrourke (IOD)
2,Great Waste (SW Sind)
1,Kingdom of Aeria (Alatia)
1,Kingdom of Denagoth
1,Kingdom of Floating Ar (ALP)
1,Kingdom of Ochalea
1,Kingdom of the Pearl Islands
1,Kingdom of Queodhar (NW ALP)
2,Kingdom of Thothia (IOD)
1,Land of Jen (E of ALP)
1,Lands of Maztica
1,Minaean Coast (E ALP)
1,Monster Island (AC1010 and later)
1,Peninsula of Estherhold (E ALP)
1,Province of Dunadale (IOD)
1,Province of East Portage (IOD)
3,Province of Furmenglaive (IOD)
1,Province of Kendach (IOD)
1,Province of Red Stone (IOD)
1,Province of Septentriona (IOD)
1,Province/Barony of West Portage (IOD)
2,Sea-Kingdom of Aquas
1,Selasia the Spine of Mystara
2,Shadow Elves Territories
2,Thyatian Hinterlands
1,Watermere
1,Yannivey Islands (NE pf ALP)

;Countries Rare
1,Claw Peninsula (Savage Coast)
1,Confederate Kingdom of Robrenn (Savage Coast)
2,Continent of Davania
1,Dark Jungles (Western Sea)
1,Dervishy of Uzümir (Savage Coast)
1,Divinarchy of Yavdlom (Serpent Peninsula)
1,Empire of Myoshima (Moon)
1,Evergrun
2,Hagiarchy of Hule (W Sind)
1,Kingdom of Aeryl (Arm of Immortals)
1,Kingdom of Ator (NW Savage Coast)
1,Kingdom of Bellayne (Savage Coast)
1,Kingdom of Cay (NW Savage Coast)
1,Kingdom of Dawnrim (Bellisaria)
1,Kingdom of Eshu (Arm of Immortals)
1,Kingdom of Eusdria (Savage Coast)
1,Kingdom of Helskir (IOD)
1,Kingdom of Horken (Bellisaria)
1,Kingdom of Lagrius (Bellisaria)
1,Kingdom of Meriander (Bellisaria)
1,Kingdom of Nimmur (Savage Coast)
1,Kingdom of Notrion (Bellisaria)
1,Kingdom of Shazak (NW Savage Coast)
1,Kingdom of Surshield (Bellisaria)
1,Land of Jibaru (W Savage Coast)
1,Land of Wallara (W Savage Coast)
1,Los Gardianos (Savage Coast)
1,Magocracy of Herath (Savage Coast)
1,Minean Coast (Skothar)
1,Nation of Ulimwengu (Serpent Peninsula)
1,Peninsula of Esterhold
2,Savage Baronies (Savage Coast)
1,Slagovitch (Savage Coast)
1,Sylvan Realms

;Land
6,[Land Common]
3,[Land Uncommon]
1,[Land Rare]

;Land Common
2,Alfheim (or Aengmor)
5,Alphatia
1,the Atruaghin Clans
5,Darokin
2,Ethengar
2,Glantri
1,the Heldann Territories
2,Ierendi
3,Karameikos
2,Minrothad Guilds
1,Norwold
1,Ostland
1,Pirate Isles
2,Rockhome
2,the Shires
2,Sind
1,Soderfjord
5,Thyatis
1,Vestland
2,Ylaruam
2,Wendar

;Land Uncommon
1,Aeria (Alatia)
2,Alatia (SE of IOD)
2,Aquas
1,Caerdwicca (IOD)
1,Denagoth
1,Dragon Isles
1,Dragon Lands
1,Dunadale (IOD)
1,East Portage (IOD)
1,Ekto (IOD)
1,Estherhold (E ALP)
1,Floating Ar (ALP)
1,Furmenglaive (IOD)
2,the Great Waste (SW Sind)
2,the Hinterlands (Davania)
1,Jen (E of Alphatia)
1,Kendach (IOD)
