# ---------------------------------------------------
# Last Update: verified by Valminder Dec 20, 2005.
# ---------------------------------------------------
#
# Creatures
#
# This table is intended to be used by other tables, 
# and not by itself.
#
# Contains various animals and fantastic creatures.
#
# Originally created by Bruce A. Gulke
#
# --------------------------------------------------------------------
# ********************************************************************
#
# Summon subtables: Do not put a ";" in the name of the Monsters.
#
# ********************************************************************
# --------------------------------------------------------------------
#
# Expanded and enhanced by Scott Barrie and Bruce A. Gulke
# Modified by Valminder, 2002 to 2004
# Aug 2005: added Humanoid3 for the Magical Items Quirks table
# Nov 2005: Modified Familiar, added some animals.
#    Added [Familiar Dragon]
# Dec 2005:
#    Added [SummonmonsterX] (added link in Fantastic subtable)
#          [SummonnatureallyX] (added link in Animal subtable)
#          [SummonElemental]
#          [SummonMephit]
# Feb 2006:
#    Added [Elemental], [Golem], [Insect]
# 

%Roll%,0
%SummonLevel%,[SummonLevel]

;Start
1,[Animal]
1,[Bird of Prey]
1,[Fantastic]
1,[Familiar]

;Start2
5,[Animal]
4,[Bird of Prey]
1,[Fantastic]

;SummonLevel
3,1
3,2
3,3
2,4
2,5
2,6
1,7
1,8
1,9

;All
#,[Animal]
1,[Animal2]
#,[AnimalPack]
1,[AnimalPet]
#,[AnimalRiding]
1,[Battle]
1,[Bird of Prey]
1,[Dragon]
#,[Dragon Age]
#,[DragonNoAge]
1,[Dwarf]
1,[Elemental]
1,[Elf]
1,[Familiar]
#,[Familiar Common]
#,[Familiar Uncommon]
#,[Familiar Rare]
#,[Familiar Dragon]
1,[Fantastic]
1,[Flying]
#,[FlyingTransport]
1,[Giant]
1,[Gnome]
#,[Golem]
1,[Halfling]
1,[Humanoid]
1,[Humanoid2]
#,[Humanoid3]
#,[Insect]
#,[MajorMenace]
#,[Monsters]
#,[Monsters2]
#,[Outsider Type]
1,[Planetouched]
1,[Summonmonster{Dice~1d9}]
1,[Summonnatureally{Dice~1d9}]
#,[SummonElemental]
#,[SummonMephit]
#,[Type]
1,[Undead]
1,[Vermin]
1,[Yuanti]

#ALL animals
;Animal
20,[Summonnatureally%SummonLevel%]
1,ape
1,baboon
2,badger
1,bat
2,bear, black
2,bear, brown
1,bear, polar
1,beaver
1,bison
2,boar
4,bull
1,camel
1,cat
1,chameleon
1,cheetah
1,cow
1,crane
1,crocodile
1,crow
1,deer
1,dog
1,dolphin
1,donkey
1,duck
1,elk
1,elephant
1,fey deer
2,fox
1,frog
1,giant lynx
1,goat
1,goose
1,gull
1,hare
1,hen
1,heron
5,horse
2,hound
1,hyena
1,lamb
1,leopard
3,lion
1,lizard
1,lynx
1,mare
1,monitor lizard
1,monkey
1,mountain lion
1,mule
1,ostrich
1,ox
2,panther
1,peacock
1,pheasant
1,pig
1,pigeon
1,plowhorse
1,pony
2,ram
1,rat
1,raven
1,riding dog
1,rhinoceros
1,rooster
1,salamander
1,serpent
1,snake (adder)
1,snake (python)
1,songbird
1,squirrel
3,stag
1,stallion
1,sturgeon
1,swan
2,tiger
1,toad
1,turtle
1,war pony
1,weasel
3,wolf
1,wolverine
1,yak
5,[Familiar]

#Common "civilized" animals
;Animal2
1,chicken
1,bull
1,camel
1,cat
1,cow
1,dog
1,donkey
1,duck
1,goat
1,goose
1,heavy horse
1,heavy war horse
1,hen
1,hound
1,lamb
1,light horse
1,light war horse
1,mouse
1,mule
1,ox
1,peacock
1,pig
1,pigeon
1,pony
1,ram
1,rat
1,riding dog
1,rooster
1,sheep
1,songbird
1,swan
1,turkey
1,war pony

;AnimalPack
1,camel
3,donkey
1,heavy horse
3,light horse
5,mule
2,ox
3,pony

;AnimalPet
1,badger
2,bear
1,boar
1,cat
3,dog
1,fox
2,horse
1,lion
2,lizard
1,mountain lion
1,panther
1,rat
1,snake
1,squirrel
1,tiger
3,wolf
5,[Familiar]

;AnimalRiding
1,camel
3,donkey
2,heavy horse
1,heavy war horse
5,light horse
1,light war horse
3,mule
1,ox
3,pony
1,riding dog
1,war pony

;Battle
2,[Animal]
1,[Fantastic]
1,[Dragon]
1,[Golem]
3,[Humanoid]
3,[Humanoid2]

;Bird of Prey
3,eagle
3,falcon
3,hawk
3,raven
1,rook
1,heron
1,crane
1,rooster
2,crow
1,gull
1,condor
3,owl
1,merlin
2,vulture

;!Dragon
1,amethyst dragon ([Dragon Age])
1,black dragon ([Dragon Age])
1,blue dragon ([Dragon Age])
1,brass dragon ([Dragon Age])
1,bronze dragon ([Dragon Age])
1,copper dragon ([Dragon Age])
1,crystal dragon ([Dragon Age])
1,emerald dragon ([Dragon Age])
1,gold dragon ([Dragon Age])
1,green dragon ([Dragon Age])
1,red dragon ([Dragon Age])
1,sapphire dragon ([Dragon Age])
1,silver dragon ([Dragon Age])
1,topaz dragon ([Dragon Age])
1,white dragon ([Dragon Age])

;Dragon Age
1,Wyrmling
2,Very Young
4,Young
8,Juvenile
16,Adult
32,Mature Adult
16,Old
8,Very Old
4,Ancient
2,Wyrm
1,Great Wyrm

;DragonNoAge
1,amethyst dragon
1,black dragon
1,blue dragon
1,brass dragon
1,bronze dragon
1,copper dragon
1,crystal dragon
1,emerald dragon
1,gold dragon
1,green dragon
1,red dragon
1,sapphire dragon
1,silver dragon
1,topaz dragon
1,white dragon

# Voir aussi Volo.tab
;Dwarf
1,deep dwarf
1,derro dwarf
1,duergar dwarf
5,hill dwarf
5,mountain dwarf
